[0.78430765 0.66414174]
[0.17813079 0.1144695 ]
[0.23302323 0.16149419]
[0.14494122 0.78587608]
[0.48803691 0.90791494]
[0.97992707 0.30041941]
[0.96038706 0.92988558]
[0.4071517  0.24806206]
[0.29152995 0.02386097]
[0.88936287 0.65678577]
[0.13835843 0.37934871]
[0.11178631 0.26234438]
[0.53555066 0.77757848]
[ 0.81623388 -0.01331726]
[0.94028777 0.12937032]
[0.81357069 0.70106122]
[0.94785009 0.1911436 ]
[0.14660958 0.70390929]
[0.00912313 0.63520449]
[0.16981617 0.25898373]
[0.2388582  0.03810655]
[0.84953013 0.45270869]
[0.24750435 0.95398185]
[0.67545042 0.85158424]
[0.42244312 0.5700921 ]
[0.11587449 0.52240567]
[0.3280491  0.26653884]
[0.55527014 0.18583892]
[0.63353421 0.56602438]
[0.20117779 0.28255574]
[0.25958537 0.11298093]
[0.28552697 0.55140302]
[0.74603517 0.85064543]
[0.41345335 0.31744475]
[0.65949596 0.71425401]
[0.39888579 0.09600005]
[0.47822307 0.25823881]
[0.057864   0.31510571]
[0.39424115 0.49826372]
[0.60923213 0.20842206]
[0.02604751 0.85384236]
[0.7478754 0.8430686]
[0.89809378 0.88670152]
[0.05001616 0.87950852]
[0.20444335 0.08761045]
[0.2787107 0.1242057]
[0.27692875 0.75145745]
[0.96317197 0.57513292]
[0.0408015  0.19027984]
[-0.00107498  0.72969358]
[0.96696642 0.44378123]
[0.94559062 0.49058174]
[0.279866   0.02141233]
[0.38928902 0.98397954]
[0.40116587 0.08338294]
[0.46390054 0.73403515]
[0.9338201  0.76812064]
[0.45717874 0.32514453]
[0.32066732 0.23841268]
[0.98020148 0.54455863]
[0.16885493 0.69197877]
[0.1253628  0.80577149]
[0.01423495 0.82230386]
[0.93533188 0.85639136]
[0.66092568 0.03070999]
[0.47889854 0.38925334]
[0.90902767 0.07244605]
[0.58709059 0.34190973]
[0.51489774 0.69749535]
[0.2340955  0.52958553]
[0.84073231 0.47650375]
[0.22422873 0.3780562 ]
[0.15426051 0.5957318 ]
[0.99349037 0.27866188]
[0.71614569 0.9208209 ]
[0.17829607 0.87427444]
[0.15430702 0.66672318]
[0.31412942 0.5674509 ]
[0.58400766 0.88094565]
[0.90229553 0.98461548]
[0.17312383 0.81744175]
[0.68336589 0.08357508]
[0.78103005 0.00830427]
[ 0.90249772 -0.01435779]
[0.54951529 0.82264283]
[0.66315531 0.04149832]
[0.34215562 0.39716296]
[0.90246271 0.60110204]
[0.49574745 0.39400276]
[0.27471072 0.75730821]
[0.40638735 0.99067075]
[0.03266901 0.52445286]
[0.55762345 0.30326546]
[0.0729357  0.90753258]
[0.65905408 0.53569538]
[0.22310864 0.06266343]
[0.3904303  0.88262274]
[0.89320951 0.25071925]
[0.44822933 0.84521348]
[0.93145469 0.68426638]
[0.85074947 0.2968212 ]
[0.10739811 0.0170857 ]
[0.15926579 0.85650287]
[0.9821055  0.30736728]
[0.60706164 0.56094164]
[0.51024444 0.95054981]
[0.9542769  0.86224726]
[0.87276283 0.3945878 ]
[0.58027698 0.59676931]
[0.81714962 0.31922566]
