[0.0855133  0.07209705 0.07625623]
[0.06691156 0.06449756 0.94953873]
[0.33786858 0.60695796 0.69266754]
[0.39007645 0.79350834 0.33176727]
[0.0789559  0.57852838 0.56766595]
[0.41918251 0.19774676 0.24863995]
[0.54151818 0.61344731 0.38766911]
[0.13111092 0.30457121 0.96627117]
[ 0.66364653 -0.0055747   0.63479434]
[0.4939041  0.32807368 0.7206158 ]
[0.70647151 0.54240315 0.28508253]
[0.96121219 0.9148539  0.90351574]
[0.43662385 0.58226255 0.8825662 ]
[0.05842792 0.25680732 0.95103987]
[0.23561666 0.08760203 0.2529824 ]
[0.43923035 0.15102355 0.79412796]
[0.25980398 0.66500104 0.06287778]
[0.66339563 0.56119303 0.0420769 ]
[0.41789117 0.9276053  0.6650507 ]
[0.91161145 0.75939391 0.52480136]
[0.62960155 0.03731474 0.67850239]
[0.42466499 0.87701961 0.17685803]
[0.12055119 0.93305208 0.83921972]
[0.52724769 0.86835099 0.34989536]
[0.25308881 0.41400924 0.54850234]
[0.33949965 0.48934293 0.33211237]
[0.55387897 0.97773205 0.97996899]
[0.18056394 0.06240206 0.69151011]
[0.37613156 0.36755985 0.35174292]
[0.21083542 0.49861    0.30999381]
[0.08164094 0.46271099 0.69980032]
[0.9606442  0.9620196  0.40032692]
[0.13478696 0.64369848 0.22007768]
[0.47126971 0.81870746 0.05189069]
[0.80910177 0.54284713 0.60069039]
[0.11475813 0.90082725 0.61218595]
[0.7731056  0.84916127 0.91901844]
[0.82883935 0.49201276 0.56269725]
[0.66795723 0.69974338 0.71785194]
[0.55740374 0.2867583  0.00742271]
[0.88240837 0.78575712 0.07778433]
[0.69654753 0.58507672 0.70406058]
[0.31687659 0.03253819 0.52837411]
[0.02893646 0.81569564 0.21314476]
[-0.00825334  0.32928459  0.49018275]
[0.38013757 0.52161936 0.82348737]
[0.48880383 0.82964886 0.04899496]
[0.96585775 0.18319798 0.61268688]
[0.35606533 0.31702848 0.96127311]
[0.14264624 0.27124071 0.56390129]
[0.97416388 0.86933101 0.61313087]
[0.33122008 0.68800314 0.67120138]
[0.29310688 0.18471419 0.41396543]
[0.33593087 0.71659114 0.48399697]
[0.27008383 0.42633043 0.00270841]
[0.61609452 0.86307038 0.2762197 ]
[0.43503618 0.73232461 0.9599688 ]
[0.10408922 0.13468932 0.20124075]
[0.67617186 1.00008366 0.23690794]
[0.70054103 0.96456018 0.63648993]
[0.91364782 0.50566867 0.97594806]
[0.39210565 0.96568102 0.41007933]
[0.2201686  0.2247093  0.26805118]
[-0.00263803  0.41570258  0.64777092]
[0.78149119 0.01952286 0.59725893]
[0.86776137 0.83711842 0.09848493]
[0.95325583 0.54201303 0.48644942]
[0.50918513 0.08428409 0.97857726]
[0.07793767 0.40162031 0.90733706]
[0.65854185 0.7879192  0.51579293]
[0.80024242 0.73406865 0.22782734]
[0.52068293 0.90471327 0.21304846]
[0.75055663 1.00289591 0.63159182]
[0.18890206 0.4637129  0.72992047]
[0.89720415 0.01890214 0.88178438]
[0.94446328 0.77343129 0.73388193]
[0.84140427 0.40291522 0.95687845]
[0.26860887 0.51726898 0.55482787]
[0.40041846 0.22781267 0.36416332]
[0.60517367 0.73614606 0.60302993]
[0.99181689 0.81361395 0.57887176]
[0.3395176  0.44038589 0.20012487]
[0.39485526 0.51709985 0.54807337]
[0.8760522  0.53639356 0.76182144]
[0.19541948 0.24758745 0.70497983]
[0.72081417 0.98786524 0.12192173]
[0.14634472 0.54688081 0.42412978]
[0.18534287 0.45189427 0.83686664]
[0.48867525 0.80902221 0.06947865]
[0.14636936 0.39790917 0.82788642]
[0.00236609 0.71843037 0.4247112 ]
[0.78104369 0.4125748  0.01606974]
[-0.01388699  0.30151748  0.57745536]
[0.55341934 0.68598427 0.39631316]
[0.92023765 0.91388719 0.74197678]
[0.77032978 0.68031455 0.25325449]
[0.61855693 0.74512928 1.0012242 ]
[0.78216263 0.88817081 0.53309828]
[0.32686021 0.66998486 0.27176324]
[0.49945236 0.78326    0.83721546]
[0.17147718 0.2591179  0.89858988]
[0.20418446 0.04837591 0.05841239]
[0.47315947 0.37895708 0.84903677]
[0.20611055 0.87675383 0.72848998]
[-0.01385575  0.45916606  0.48270502]
[0.49857434 0.87990318 0.21180357]
[0.77768332 0.25381598 0.09657375]
[0.2594949  0.31665799 0.5516956 ]
[0.32937608 0.67118616 0.97020658]
[0.74965773 0.9637984  0.21053065]
[0.47461933 0.71750796 0.88459509]
[0.24207193 0.49559673 0.9185576 ]
[0.56707846 0.763358   0.16746594]
[0.79419321 0.57110662 0.41139325]
[0.67685974 0.51643187 0.7467702 ]
[0.55265095 0.21121095 0.37196177]
[0.69162109 0.12608213 0.37570494]
[0.99755807 0.47601823 0.64196236]
[0.81147582 0.0971785  0.12669189]
[0.01460001 0.92387793 0.42858664]
[0.4985753  0.97182015 0.96691063]
[0.1152021  0.7372571  0.50755793]
[0.18749029 0.30434154 0.46286224]
[0.95423542 0.95206606 0.2446276 ]
[0.02439694 0.50337174 0.18503176]
[0.10029979 0.76203506 0.67352245]
[0.58994232 0.53168625 0.34543348]
[0.57057288 0.36213877 0.74267942]
[0.66673822 0.35108969 0.03984294]
[0.07083192 0.47970363 0.21022058]
[0.83127493 0.78763681 0.39418259]
[0.47444541 0.66685101 0.35131134]
[0.87568237 0.83707613 0.67291582]
[0.65582431 0.47161968 0.10038186]
[0.2180925  0.59766887 0.59707017]
[0.94166446 0.53394696 0.21315648]
[0.96824461 0.53513279 0.96761655]
[0.03288697 0.47308569 0.58935874]
[0.96360025 0.25598406 0.73587762]
[0.55531391 0.28383196 0.77339221]
[0.49763787 0.47138938 0.80126962]
[0.23890607 0.86215286 0.75354081]
[0.70359202 0.9127003  0.6932006 ]
[0.27381327 0.67705702 0.06107672]
[0.84453989 0.5176222  0.00923439]
