[0.02774431 0.05609241]
[0.00431318 0.90241023]
[0.45023666 0.30435142]
[0.11561808 0.59883789]
[0.47839045 0.41658795]
[0.70616226 0.16194549]
[0.32941088 0.76326431]
[0.69337396 0.46616989]
[0.61604771 0.23828441]
[0.30370635 0.87252468]
[1.049201   0.19166277]
[0.27653357 0.72485145]
[0.85292368 0.95078973]
[0.0084529  0.39252009]
[0.63085696 0.02681431]
[0.78826406 0.42286271]
[0.21567566 0.87528105]
[0.51682055 1.00182808]
[0.32904096 0.11566483]
[0.04571446 0.39990271]
[0.39286209 0.71708977]
[0.7936     0.44046138]
[0.94351979 0.48526924]
[0.73031171 0.76557928]
[0.71848996 0.41514649]
[0.08643637 0.8352468 ]
[0.56476259 0.3102907 ]
[0.03839205 0.76584093]
[0.37465163 0.3754733 ]
[0.48083359 0.06965027]
[0.24650187 0.95359006]
[0.22457187 0.95662117]
[0.72108458 0.22004627]
[0.30372507 0.9215938 ]
[0.76325417 0.30378786]
[0.02010729 0.90872968]
[0.43927107 0.70311201]
[0.88551781 0.41034547]
[0.65424223 0.35647455]
[0.48903625 0.36932046]
[0.51817942 0.57790292]
[0.53114714 0.7052578 ]
[0.0658191  0.87032913]
[0.59827753 0.29385813]
[0.69842363 0.21758108]
[0.77954553 0.52072603]
[0.37169829 0.73198324]
[0.76612599 0.01948582]
[0.41513368 0.78015202]
[ 0.58737537 -0.003864  ]
[0.85887419 0.40863209]
[0.62598712 0.92667807]
[0.71070254 0.42201907]
[0.81107032 0.4567084 ]
[0.41835401 0.47797017]
[0.91656124 0.84204068]
[0.95047467 0.32726437]
[0.93805903 0.72031442]
[0.4271038  0.56282076]
[0.11536745 0.32731719]
[0.68091185 0.34983261]
[0.92104974 0.19843475]
[0.91097702 0.41186901]
[0.32534219 0.42040701]
[0.40849203 0.97801879]
[0.46236856 0.85762404]
[0.60614012 0.39813527]
[0.27596138 0.6085692 ]
[0.530403   0.47510646]
[0.18675574 0.81959563]
[0.82328919 0.27452435]
[0.31160304 0.85320312]
[0.47120313 0.69173886]
[0.13326896 0.86883146]
[0.19842433 0.9965581 ]
[0.77771762 0.22443657]
[0.81140499 0.4099417 ]
[0.62529097 0.48639503]
[0.66994668 0.5483769 ]
[0.90784863 0.49551233]
[0.65533444 0.52138392]
[0.17378084 0.77817846]
[0.08225167 0.59622729]
[0.18300319 0.94428109]
[0.29060445 0.0587939 ]
[0.46459918 0.46370955]
[0.27124019 0.31341018]
[0.87149533 0.07505666]
[0.96818889 0.4531066 ]
[0.4013334  0.38693286]
[0.92304708 0.3676404 ]
[1.041044  0.7054489]
[0.38823458 0.93079616]
[0.78585816 0.621934  ]
[0.64301485 0.79382675]
[0.48702965 0.2108944 ]
[0.82047672 0.61457447]
[0.79412125 0.46514619]
[0.66938924 0.33259783]
[0.38014772 0.38379743]
[0.6969661  0.52577382]
[0.74791012 0.95729783]
[0.49561183 0.9002744 ]
[0.58838135 0.55492949]
[0.33207097 1.04388882]
[0.7015557  0.57085761]
[0.73759217 0.2495578 ]
[-0.0161563   0.71010884]
[0.23055493 0.67313664]
[0.28157513 0.50802655]
[0.84100888 0.93694249]
[0.19539033 0.16569632]
[0.82067257 0.34600058]
