[0.66666917 0.30175338]
[0.40057951 0.53014321]
[0.19896697 0.74288235]
[0.58916608 0.00711535]
[0.38764465 0.6151684 ]
[0.69293156 0.56657834]
[0.04917029 0.27498712]
[0.63294861 0.14316824]
[0.94260285 0.12372789]
[0.31117493 0.64585748]
[0.965259   0.79657584]
[0.38208555 0.37115252]
[0.69800865 0.92394844]
[0.43661975 0.29424135]
[1.08187302 0.67928094]
[0.60418542 0.72354755]
[0.48126315 0.54243865]
[0.147277   0.65564943]
[0.55644301 0.77543488]
[0.15164118 0.38533515]
[0.8580386  0.77552172]
[0.55874103 0.90855505]
[0.12228129 0.46520502]
[0.74842276 0.21901882]
[ 0.4247306  -0.04036692]
[0.2050801  0.30377841]
[0.86927046 0.79889353]
[0.68656178 0.77415191]
[0.18819908 0.77537919]
[0.00434882 0.74528353]
[ 0.45872539 -0.08966084]
[0.71478315 0.70427692]
[0.56965515 0.55693081]
[0.3429599  0.43784176]
[0.66012476 0.60585844]
[0.88901373 0.46103069]
[0.70000098 0.37894762]
[0.23757339 0.46178471]
[0.84896873 0.86340652]
[0.65570517 0.39628281]
[0.17208736 0.61895473]
[0.66677217 0.76343452]
[0.56117847 0.65542644]
[0.07549486 0.58734722]
[0.22318077 0.14279514]
[0.46466565 0.38027648]
[0.8039178  0.18261114]
[0.69175022 0.18508062]
[0.92764844 0.42651873]
[0.46514745 1.03472133]
[0.65339072 0.32344857]
[0.2561951  0.25541885]
[0.13215075 0.22045536]
[0.24657153 0.06669494]
[0.42955157 0.95708784]
[0.89341675 0.18210739]
[0.42076536 0.2132519 ]
[0.15121245 0.37424664]
[0.30120704 0.32828708]
[0.1571893  0.66496624]
[-0.02033313  0.5673976 ]
[0.29444493 0.99841086]
[0.89864327 0.15312779]
[0.6111227  0.33694812]
[0.45357916 0.97444153]
[0.31626004 0.99202281]
[0.67320604 0.24564536]
[0.79263244 0.51930468]
[0.3448418  0.83106271]
[0.84109239 0.87431024]
[0.475352   0.23647919]
[0.24791782 0.80649853]
[1.00390649 0.29477243]
[0.23334761 0.52430758]
[0.28291005 0.18835308]
[0.74362775 0.90250548]
[0.85811161 0.34933632]
[0.87469321 0.82891052]
[0.55670403 0.41737109]
[0.09436327 0.46598336]
[0.24204119 0.68892387]
[0.24762455 0.17330416]
[0.61768008 0.77924297]
[0.16965436 0.93285739]
[0.91240048 0.3726293 ]
[0.41649686 0.11734042]
[0.42977309 0.86178081]
[0.4352931  0.32317816]
[0.13172137 0.28303258]
[ 0.44145411 -0.01788519]
[0.00647484 0.30149472]
[0.59832756 0.63024665]
[-0.00824535  0.71808863]
[0.80883674 0.55529777]
[0.8872281  0.46658245]
[0.27464943 0.21060655]
[0.99964406 0.74004634]
[0.50119764 0.44197747]
[0.66110974 0.58504647]
[0.73847888 0.85136811]
[0.24253659 0.37243983]
[0.15089427 0.90156949]
[0.56063287 0.00563227]
[0.32424452 0.52944309]
[0.34893265 0.63683832]
[0.49081734 0.75458992]
[0.20198694 0.93970879]
[0.20638676 0.84540234]
[0.41436545 0.07102252]
[0.23115688 0.80661413]
[0.60545373 0.26837265]
[0.17049025 0.12593463]
[0.27806818 0.16647828]
[0.36966223 0.79326332]
[ 0.57204622 -0.02709929]
[0.30670332 0.67728842]
[0.65034987 0.29561106]
[0.23429247 0.46112617]
[0.28703982 0.45533632]
[0.97207508 0.11412849]
[0.75898026 0.60833409]
[0.2586616  0.36107482]
[0.53549268 0.00908077]
[-0.0126945   0.73430698]
[0.34380247 0.91917849]
