[ 0.11421051 -0.01469881]
[0.05581861 0.94458557]
[0.24989645 0.30099018]
[0.1916603  0.19796552]
[0.63693971 0.67109895]
[0.3900318 0.3522425]
[0.99879476 0.34374454]
[0.47533816 0.8829602 ]
[0.27346754 0.42382975]
[0.95567706 0.4894038 ]
[0.95164728 0.45666786]
[0.14965999 0.38135875]
[0.30245102 0.43627917]
[0.72651793 0.65919548]
[0.67322456 0.22581928]
[0.22841394 0.5326262 ]
[0.07491451 0.80355529]
[0.70118035 0.49932979]
[0.8596734  0.65575717]
[0.8936028  0.96555743]
[0.54968294 0.69509223]
[0.104583  0.7096263]
[0.97843729 0.37602797]
[0.36555021 0.71925834]
[0.44549199 0.14080334]
[ 0.53182424 -0.06950003]
[0.84215596 0.07812255]
[0.41899183 0.59775434]
[0.78322953 0.69186861]
[0.23215875 0.82923605]
[0.28650287 0.57348421]
[0.43216091 0.00816221]
[0.81089743 0.59427194]
[0.56563652 0.7217136 ]
[0.32137527 0.7687475 ]
[0.43379831 0.22187302]
[-0.02061498  0.33964622]
[0.63239479 0.07771694]
[0.7198596  0.46436523]
[0.57594579 0.43763734]
[0.86197479 0.85307647]
[0.34928914 0.3997017 ]
[0.93268974 0.38790689]
[ 0.4864693  -0.05842635]
[0.49454685 0.94975996]
[0.58129736 1.02951792]
[0.24649395 0.4156963 ]
[0.59621435 0.80702014]
[0.89363324 0.55878275]
[0.86314675 0.53624373]
[0.46437866 0.03179774]
[0.8205613  0.43594813]
[0.23457123 0.32964976]
[ 0.30381649 -0.05682812]
[0.09157848 0.55155531]
[0.43752403 0.40935712]
[0.11384666 0.50544702]
[0.52019536 0.27312131]
[ 0.48928527 -0.08944322]
[0.23520331 0.25793594]
[0.90555572 0.66269413]
[0.20284809 0.628593  ]
[0.22808503 0.65434661]
[0.70711908 1.01465893]
[0.9613381  0.71365677]
[0.98010705 0.41106486]
[0.684651   0.13923849]
[-0.07873939  0.71092915]
[-0.02105115  0.2876648 ]
[0.77285468 0.90421599]
[0.61856243 0.47145445]
[0.52743188 0.6358478 ]
[0.39354317 0.74109213]
[0.19054926 0.9868234 ]
[-0.02509838  0.77506044]
[0.90211364 0.96046487]
[0.79573387 0.7367833 ]
[0.34876792 0.10129037]
[0.17364754 0.18200477]
[0.34297782 0.41824026]
[0.85385665 0.21927135]
[0.45542974 0.48794864]
[0.62191004 0.50833424]
[0.82227359 0.50856963]
[0.10057063 0.21201816]
[0.20871425 0.80243449]
[0.42489743 0.64783173]
[0.05438306 0.61361446]
[0.6354139  0.66637909]
[0.92433763 0.47978012]
[0.51731361 0.6953126 ]
[0.47245844 0.45697601]
[0.27753458 0.52046351]
[0.21286824 0.67170723]
[0.45140525 0.49534508]
[0.28287246 0.5672216 ]
[0.34448735 0.23876687]
[1.02312561 0.64772653]
[0.53512481 0.61902263]
[0.63185395 1.05285926]
[0.60961756 0.60341512]
[0.60844897 0.85442772]
[0.81064223 0.5606653 ]
[0.70206884 0.46441767]
[1.0717636  0.38700048]
[0.34145493 1.06160271]
[0.96734596 0.66292404]
[0.8318356  0.61286789]
[0.1254933  0.58316781]
[0.87158424 0.37851235]
[0.75813813 0.41946465]
[0.63235332 0.69646361]
[0.43750011 0.28568965]
[0.45745526 0.29294999]
[0.32549647 0.46041455]
[ 0.75368767 -0.02981826]
[0.4386914  0.43122291]
[0.31026274 0.23249603]
[0.70117915 0.35283644]
