[0.08022897 0.00913689]
[0.02245664 0.92711783]
[0.52015381 0.93574611]
[0.48616007 0.02420587]
[0.04461283 0.42082554]
[1.02884266 0.42800552]
[0.75249157 0.25037133]
[0.78076274 0.34453704]
[0.80666324 0.59827856]
[0.05256051 0.05330712]
[1.0501619  0.59670383]
[0.38574948 0.68173832]
[ 0.43698917 -0.02628404]
[0.72501284 0.40173128]
[0.96879652 0.52117016]
[0.91585732 0.12833284]
[0.43246517 0.99169748]
[0.84057519 0.07924041]
[0.86136794 0.63461775]
[0.24057259 0.42792872]
[0.45331494 0.14727747]
[0.33804407 0.84537994]
[0.0433067  0.52030523]
[0.10926238 0.55066752]
[0.57102318 0.26164747]
[0.35963436 0.22296672]
[0.0214548  0.83976539]
[0.24590305 0.18508946]
[0.69928173 0.65050497]
[ 0.5951455  -0.03813319]
[0.35031763 0.55409227]
[0.43092182 0.75331171]
[0.59592409 0.22176933]
[0.77606942 0.08259965]
[0.67996816 0.20922556]
[0.5293803 0.0981273]
[0.39820503 0.91683875]
[1.00467446 0.58641395]
[0.13268628 0.96691226]
[0.49311618 0.13526595]
[0.8435764 0.7936741]
[0.37045525 0.47440413]
[0.57808474 0.66485702]
[0.13095854 0.13592052]
[0.6682285  0.59485378]
[0.22493049 0.80707433]
[0.20389972 0.72741261]
[0.34678238 0.53404171]
[0.73043743 0.46190451]
[0.16564974 0.09275361]
[0.50484617 0.73189515]
[0.31121486 0.63820223]
[0.27181742 0.68665074]
[0.20538949 0.80049383]
[0.4623473  0.00838706]
[0.92426493 0.51308955]
[0.84989491 0.37437631]
[0.25424569 0.66274261]
[0.5931294  0.88970157]
[0.36704287 0.59764756]
[0.31832338 0.48981934]
[0.40528599 0.45125919]
[0.56597202 0.46236431]
[0.71945048 0.33047243]
[0.72659247 0.68233419]
[0.44038277 1.03320397]
[0.26492277 0.86852525]
[0.34842156 0.60197716]
[0.57430415 0.34882819]
[0.98664068 0.15534716]
[0.45624924 1.04035896]
[0.45613642 0.95035883]
[0.17271277 0.72974895]
[0.37898297 0.76432045]
[0.15267314 0.93070008]
[ 0.56595441 -0.00243602]
[0.68302511 0.00562099]
[0.22735967 0.56455788]
[0.54771369 0.26538536]
[0.8985778  0.15564301]
[0.1025524  0.33543394]
[0.31984888 0.58518619]
[0.48582932 0.12367888]
[0.17190576 0.75687591]
[0.77433447 0.76582198]
[0.24800511 0.1030361 ]
[0.76104506 0.79230658]
[0.50133112 0.89642148]
[0.62697014 1.04574195]
[0.63066849 0.60997372]
[0.48904767 0.43917375]
[0.26771675 0.4755147 ]
[0.09983581 0.7616162 ]
[0.2025602  0.91522881]
[-0.00578032  0.48610286]
[0.46972144 0.91799909]
[0.5282981  0.62680136]
[ 0.39080955 -0.01507395]
[0.06945831 0.30558968]
[0.01983765 0.74851249]
[0.53664812 0.62059507]
[0.77350522 0.66610586]
[0.33988282 0.39559328]
[0.27180094 0.28055677]
[0.87266582 0.21215034]
[ 0.32902461 -0.01767046]
[0.01756672 0.22612183]
[0.56345617 0.38807592]
[0.41971475 0.85457241]
[0.1525025  0.41265676]
[0.38080995 0.11909262]
[0.07880026 0.00601254]
[0.23220966 0.67909735]
[0.16993887 0.686545  ]
[0.45195196 0.94895644]
[0.79158779 0.01682379]
[0.07947956 0.92789898]
[0.72889003 0.69202047]
[0.41920788 1.03538966]
[0.4691035  0.19104402]
[-0.04056254  0.68275755]
[0.30866998 0.07923878]
[0.65926516 0.4788851 ]
[0.22067179 0.65296917]
[0.41443748 0.3566353 ]
[-0.0676566   0.65489377]
[0.49650623 0.92404371]
[0.00575593 0.20150558]
[0.41268277 0.48063422]
[1.07704023 0.57894406]
[0.3418787  0.07885371]
[0.15810672 0.3928711 ]
[0.31426848 0.36497337]
[0.61279473 0.7400178 ]
[0.04275842 0.46456607]
[0.98169119 0.09830563]
[0.08319391 0.57808132]
[0.96044572 0.64802849]
[0.4027167  0.37920066]
[-0.02713365  0.29210802]
[0.57347667 0.13495714]
[0.22102952 1.00558362]
[0.55322032 0.77802524]
[0.41413572 0.5861461 ]
[0.65719971 0.86412118]
[0.34240904 0.36315001]
[0.40371826 0.39267409]
[0.06748103 0.70039543]
[0.41690458 0.36040179]
[0.34508744 0.44767101]
[0.50224149 0.87857823]
[0.0862475  0.35624843]
[0.45364263 0.34425173]
[0.06262827 0.43611586]
[0.47097628 0.07446657]
[0.71135519 0.05515186]
[0.67843024 0.3559131 ]
[0.00404897 0.5342943 ]
[0.37751687 0.05651729]
[0.48794053 0.47946894]
[0.77966512 0.36564681]
[0.45632391 0.703217  ]
[0.81167985 0.88251443]
[0.68288414 0.49648767]
[0.65065265 0.25995268]
[0.49900306 0.19649531]
[0.92541722 0.86450403]
[0.92379904 0.29473301]
[0.60212309 0.18242858]
[0.2511251  0.85304358]
[0.44863811 0.64664112]
[0.53420041 0.50451284]
[0.10913253 0.27807695]
[0.5817069  0.27247957]
[0.47161574 0.72082297]
[0.34088382 0.27265581]
[0.94161833 0.5937788 ]
[0.10041996 0.93662368]
[0.2538838  0.47102457]
[0.65011578 0.24609253]
[0.82431926 0.21105452]
[0.30146128 0.85927994]
[0.22036698 0.20096908]
[0.54770505 0.24738514]
[0.35149766 0.67070625]
[0.3847882  0.31116326]
[0.34558699 0.55782527]
[0.45046012 0.60630515]
[0.93883853 0.49349198]
[0.64018345 0.10102173]
[0.48371621 1.00132112]
[0.93466918 0.5985197 ]
[0.33516659 0.03250616]
[-0.02107344  0.76132505]
[1.02477833 0.39329042]
[0.46378189 0.15625676]
[0.12803034 0.56790136]
[0.25173383 0.01040947]
[0.39860679 0.06880516]
